code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_clicks,avg_assessment_score
AAA,2013J,142326,0,4,0,6,1,0,60,0,2,2121.0,73.6
AAA,2013J,144801,0,8,1,9,1,0,60,0,2,5645.0,68.8
AAA,2013J,145130,1,9,1,7,0,0,120,0,2,452.0,54.4
AAA,2013J,146188,0,11,0,3,0,0,60,1,1,597.0,50.0
AAA,2013J,147756,1,4,2,7,0,0,120,0,1,1718.0,68.66666666666667
AAA,2013J,147793,0,4,2,9,0,0,90,0,3,155.0,52.0
AAA,2013J,148993,0,5,0,4,1,0,60,1,3,3812.0,79.5
AAA,2013J,151358,0,3,0,9,0,0,150,0,2,270.0,50.0
AAA,2013J,155550,1,3,0,1,1,0,420,0,2,1529.0,67.0
AAA,2013J,155854,0,1,0,3,1,0,60,0,2,4003.0,79.8
AAA,2013J,155984,0,0,2,8,0,0,60,0,3,2645.0,78.14285714285714
AAA,2013J,157568,0,9,0,10,0,0,60,0,2,1405.0,70.6
AAA,2013J,159954,1,1,0,5,1,0,60,0,3,2062.0,68.2
AAA,2013J,164259,1,6,0,8,0,0,60,0,2,466.0,71.8
AAA,2013J,167906,0,12,0,5,1,0,60,0,2,1510.0,69.4
AAA,2013J,168936,0,11,2,2,1,0,60,0,2,745.0,66.4
AAA,2013J,172112,1,2,1,0,1,0,60,0,2,1939.0,69.6
AAA,2013J,172797,0,2,0,0,1,0,60,0,2,1782.0,61.4
AAA,2013J,174782,1,0,1,10,2,0,60,0,2,6318.0,80.4
AAA,2013J,175392,1,4,1,0,1,0,60,0,2,4447.0,82.4
AAA,2013J,175932,1,5,1,8,1,0,60,0,2,2016.0,78.2
AAA,2013J,175991,0,5,0,9,0,0,180,0,1,138.0,37.6
AAA,2013J,180753,1,9,0,4,0,0,120,0,2,2012.0,53.4
AAA,2013J,181316,0,9,0,9,1,0,120,0,3,487.0,76.0
AAA,2013J,183096,0,9,0,7,0,0,60,0,2,1975.0,54.0
AAA,2013J,183947,1,3,0,2,0,0,180,0,2,964.0,49.0
AAA,2013J,184271,1,9,1,9,1,0,170,0,2,1312.0,59.8
AAA,2013J,185439,1,3,1,2,0,0,120,0,1,427.0,74.0
AAA,2013J,186149,1,6,1,4,1,0,60,0,2,2136.0,76.0
AAA,2013J,187100,1,7,0,6,1,0,60,0,0,8562.0,89.2
AAA,2013J,188278,1,12,0,8,1,0,120,0,3,4497.0,71.66666666666667
AAA,2013J,189879,1,6,0,10,0,0,120,0,2,1541.0,79.4
AAA,2013J,192183,0,9,2,10,0,0,60,0,2,3219.0,68.4
AAA,2013J,195262,1,3,0,10,0,0,60,0,3,1905.0,50.0
AAA,2013J,200860,1,3,2,6,1,0,60,0,2,534.0,54.4
AAA,2013J,202635,0,10,0,4,0,0,60,0,3,1418.0,66.66666666666667
AAA,2013J,205350,1,9,1,9,1,0,60,0,2,1665.0,72.2
AAA,2013J,205719,1,0,0,5,0,0,90,1,1,333.0,56.666666666666664
AAA,2013J,227499,0,3,0,2,1,0,60,0,0,2953.0,83.6
AAA,2013J,227517,1,2,1,0,0,0,180,0,1,1205.0,62.6
AAA,2013J,228082,1,3,1,7,0,0,60,0,2,227.0,72.4
AAA,2013J,228222,1,1,2,6,0,0,60,0,2,445.0,61.8
AAA,2013J,229179,1,11,0,3,0,0,60,0,2,614.0,66.0
AAA,2013J,229361,1,1,0,6,0,0,60,0,2,1215.0,78.0
AAA,2013J,231554,1,3,0,5,0,0,240,0,2,1839.0,67.75
AAA,2013J,235507,1,12,0,10,0,0,240,0,3,1257.0,57.833333333333336
AAA,2013J,236284,1,6,4,10,0,0,60,0,2,732.0,78.0
AAA,2013J,238007,1,8,1,10,2,0,60,0,2,1935.0,79.2
AAA,2013J,240712,1,3,1,9,0,0,80,0,2,321.0,75.8
AAA,2013J,240884,1,8,0,10,0,0,120,0,2,427.0,58.4
AAA,2013J,241649,1,0,1,10,1,0,60,0,2,1892.0,78.8
AAA,2013J,241729,0,1,1,7,1,0,60,0,1,1829.0,58.6
AAA,2013J,242793,1,3,1,3,1,0,60,0,2,658.0,77.4
AAA,2013J,246834,1,9,0,10,1,0,60,0,2,1174.0,55.6
AAA,2013J,248270,1,5,2,3,0,0,90,0,2,1969.0,78.4
AAA,2013J,255548,1,10,2,3,1,0,60,0,2,2580.0,71.4
AAA,2013J,256815,1,5,1,2,0,0,120,0,2,1481.0,76.8
AAA,2013J,258392,0,11,2,4,0,0,60,0,2,844.0,58.8
AAA,2013J,258894,0,0,2,8,1,0,60,0,2,4963.0,64.8
AAA,2013J,260355,0,3,0,9,1,0,60,0,3,426.0,57.5
AAA,2013J,262011,1,1,0,3,1,0,60,0,2,1066.0,71.0
AAA,2013J,262934,0,5,0,4,1,0,60,0,2,2407.0,76.6
AAA,2013J,268073,1,0,0,2,1,0,90,0,1,3210.0,74.6
AAA,2013J,268733,1,0,0,4,0,0,180,0,3,191.0,43.0
AAA,2013J,271251,1,6,0,9,1,0,60,0,2,3348.0,76.4
AAA,2013J,277880,0,7,0,7,0,0,60,0,3,2028.0,67.66666666666667
AAA,2013J,279572,1,3,2,5,0,0,60,0,0,1183.0,79.2
AAA,2013J,281022,0,6,0,4,0,0,150,0,2,492.0,73.4
AAA,2013J,281250,1,10,2,8,1,0,60,0,1,130.0,55.4
AAA,2013J,281589,1,5,1,4,0,0,60,0,1,59.0,72.82803689390448
AAA,2013J,282821,1,9,0,4,1,0,60,0,2,1961.0,60.6
AAA,2013J,286488,1,7,0,10,1,0,60,0,2,1046.0,71.0
AAA,2013J,287548,1,0,0,10,0,0,120,0,2,483.0,67.8
AAA,2013J,290201,1,10,0,3,0,0,60,0,2,1740.0,70.4
AAA,2013J,290757,1,5,0,4,0,0,60,0,2,652.0,75.0
AAA,2013J,291334,1,7,0,10,1,0,60,0,0,5231.0,83.6
AAA,2013J,292923,0,7,0,10,1,0,180,0,3,0.0,72.82803689390448
AAA,2013J,293699,1,1,0,8,0,0,120,0,2,187.0,46.75
AAA,2013J,294570,1,7,1,10,2,0,60,0,2,1775.0,78.2
AAA,2013J,294594,1,7,0,10,0,0,60,0,2,865.0,52.8
AAA,2013J,295741,1,7,0,5,1,0,240,0,1,3099.0,71.0
AAA,2013J,296332,1,8,4,10,2,0,60,0,0,2152.0,86.8
AAA,2013J,298696,0,7,1,9,0,0,60,0,2,514.0,80.8
AAA,2013J,300398,1,11,0,4,1,0,60,0,2,1997.0,78.8
AAA,2013J,302302,0,0,0,5,0,0,60,0,1,513.0,58.666666666666664
AAA,2013J,305152,1,5,0,8,0,0,60,0,1,146.0,64.0
AAA,2013J,305386,1,11,0,8,0,0,120,1,2,1277.0,78.0
AAA,2013J,305539,0,10,2,9,0,0,120,0,3,68.0,72.82803689390448
AAA,2013J,306107,1,11,0,6,1,0,120,0,2,987.0,58.2
AAA,2013J,306466,1,0,0,10,1,0,60,0,2,1220.0,82.0
AAA,2013J,306897,0,3,0,2,0,0,60,0,2,2742.0,62.6
AAA,2013J,307061,0,1,1,2,0,0,60,0,2,1081.0,81.2
AAA,2013J,307866,1,11,0,8,0,0,60,0,2,1476.0,60.0
AAA,2013J,311917,1,9,0,7,2,0,120,0,2,2230.0,59.2
AAA,2013J,312537,1,8,4,10,2,0,60,0,0,12882.0,87.8
AAA,2013J,312782,1,8,0,10,0,0,60,0,2,281.0,61.8
AAA,2013J,318933,0,0,1,9,0,0,120,0,2,1281.0,66.6
AAA,2013J,319047,0,1,0,6,0,0,60,0,2,6589.0,78.4
AAA,2013J,321942,1,8,1,10,2,0,60,0,2,10083.0,80.4
AAA,2013J,324002,1,0,1,5,1,0,60,0,2,1901.0,80.4
AAA,2013J,324084,0,9,0,2,1,0,60,0,2,1961.0,57.6
AAA,2013J,324282,1,7,0,10,0,0,120,0,2,133.0,61.2
AAA,2013J,331358,0,8,1,10,1,0,60,0,3,6588.0,84.66666666666667
AAA,2013J,332789,0,0,0,7,1,0,60,0,2,1655.0,74.4
AAA,2013J,333059,1,6,0,3,0,0,120,0,2,301.0,65.8
AAA,2013J,333323,1,6,1,9,0,0,60,0,2,648.0,74.4
AAA,2013J,334259,0,3,0,6,0,0,150,0,1,332.0,53.0
AAA,2013J,334333,0,9,0,1,0,0,240,1,3,303.0,36.0
AAA,2013J,335764,0,7,0,3,0,0,60,0,3,3928.0,86.875
AAA,2013J,336207,1,0,0,10,0,0,120,0,2,1316.0,68.2
AAA,2013J,339972,1,4,0,9,0,0,60,0,2,333.0,49.8
AAA,2013J,341872,1,0,2,5,0,0,180,0,1,201.0,64.2
AAA,2013J,342007,0,11,1,8,0,0,60,0,3,3178.0,82.33333333333333
AAA,2013J,342514,1,6,2,6,2,0,60,0,2,1950.0,77.2
AAA,2013J,342972,1,12,1,1,0,0,60,0,2,838.0,60.4
AAA,2013J,343446,1,2,1,8,1,0,120,0,2,3644.0,78.4
AAA,2013J,344282,1,12,0,2,0,0,60,0,1,65.0,49.2
AAA,2013J,345068,1,0,0,7,0,0,180,1,2,547.0,78.0
AAA,2013J,345357,1,12,0,4,0,0,60,0,0,2219.0,80.4
AAA,2013J,346025,1,0,0,6,0,0,120,0,2,569.0,82.4
AAA,2013J,346843,0,6,1,6,1,0,120,0,1,164.0,72.82803689390448
AAA,2013J,350188,1,5,1,9,1,0,60,0,2,761.0,73.8
AAA,2013J,354858,1,8,1,10,1,0,120,0,3,198.0,72.82803689390448
AAA,2013J,357668,1,12,0,2,0,0,60,0,1,166.0,57.0
AAA,2013J,364177,1,0,2,8,1,0,60,0,1,821.0,69.0
AAA,2013J,365244,0,3,0,1,0,0,120,0,2,891.0,56.4
AAA,2013J,365642,1,0,2,2,1,0,60,0,2,2129.0,70.0
AAA,2013J,366483,1,9,1,5,0,0,60,0,2,1465.0,76.8
AAA,2013J,368194,0,9,0,6,0,0,120,1,2,437.0,50.4
AAA,2013J,368824,1,10,1,6,1,0,120,0,1,292.0,55.6
AAA,2013J,368963,1,12,2,1,0,0,180,0,2,677.0,66.4
AAA,2013J,376439,1,4,1,0,0,0,60,0,0,2342.0,87.0
AAA,2013J,376581,0,8,0,9,1,0,60,0,2,2333.0,72.8
AAA,2013J,380953,1,1,0,9,0,0,60,0,2,1062.0,67.8
AAA,2013J,383254,1,12,0,10,0,0,120,0,2,543.0,75.6
AAA,2013J,386924,1,2,2,0,0,0,120,0,2,164.0,67.8
AAA,2013J,386952,1,12,0,8,0,0,120,0,2,910.0,68.0
AAA,2013J,388722,0,3,2,9,1,0,60,0,2,671.0,63.8
AAA,2013J,388885,1,9,0,10,1,0,60,0,2,875.0,60.6
AAA,2013J,390890,1,6,0,1,0,0,90,0,3,997.0,68.625
AAA,2013J,392756,1,11,0,8,0,0,120,0,1,363.0,45.0
AAA,2013J,392931,0,5,0,6,1,0,120,0,2,3003.0,68.4
AAA,2013J,393207,1,5,0,7,0,0,60,0,2,876.0,74.2
AAA,2013J,396872,1,12,1,6,0,0,180,0,2,996.0,61.4
AAA,2013J,398552,1,12,2,10,0,0,240,0,1,1183.0,46.4
AAA,2013J,401869,0,7,2,9,0,0,60,0,2,955.0,65.0
AAA,2013J,402470,1,9,2,6,1,0,60,0,2,1445.0,72.6
AAA,2013J,404804,1,10,2,3,1,0,120,0,2,509.0,43.8
AAA,2013J,405088,1,4,0,3,0,0,120,0,2,1388.0,77.2
AAA,2013J,405961,1,6,0,10,0,0,240,1,3,0.0,72.82803689390448
AAA,2013J,414117,1,12,0,6,0,0,120,0,2,807.0,76.4
AAA,2013J,415969,1,11,1,1,1,0,90,0,3,1417.0,59.666666666666664
AAA,2013J,420087,1,6,0,5,0,0,60,1,1,342.0,76.0
AAA,2013J,429958,0,5,0,8,0,0,60,0,2,411.0,58.4
AAA,2013J,441018,0,7,0,8,0,0,150,0,2,646.0,59.8
AAA,2013J,441888,1,3,0,3,0,0,120,0,2,739.0,70.6
AAA,2013J,442442,1,9,1,9,0,0,120,0,3,1009.0,40.5
AAA,2013J,444677,1,3,1,4,0,0,60,0,0,1241.0,87.6
AAA,2013J,470588,1,7,1,10,1,0,60,0,3,842.0,79.33333333333333
AAA,2013J,489455,0,9,0,3,0,0,60,0,2,2832.0,70.6
AAA,2013J,494424,0,4,0,9,0,0,60,0,1,58.0,72.82803689390448
AAA,2013J,495284,1,7,1,9,0,0,120,0,2,901.0,66.6
AAA,2013J,498857,1,5,1,9,1,0,60,0,2,998.0,73.0
AAA,2013J,508818,1,3,0,5,0,0,120,0,2,1129.0,71.8
AAA,2013J,512460,1,7,1,10,0,0,120,0,2,521.0,72.4
AAA,2013J,544103,1,5,1,5,0,0,120,0,2,2328.0,81.0
AAA,2013J,550383,1,7,1,7,0,0,60,0,2,910.0,72.0
AAA,2013J,564450,1,11,1,9,0,0,120,0,1,224.0,59.2
AAA,2013J,568601,0,6,1,4,0,0,60,0,3,488.0,81.5
AAA,2013J,572652,1,11,1,8,0,0,120,0,2,780.0,73.2
AAA,2013J,580389,1,2,1,10,0,0,120,0,2,1271.0,71.4
AAA,2013J,581129,1,0,0,4,0,0,120,0,1,194.0,40.0
AAA,2013J,588775,1,9,0,10,0,0,120,0,2,7067.0,82.8
AAA,2013J,591774,1,8,4,10,1,0,60,0,2,605.0,76.2
AAA,2013J,603861,1,4,1,0,2,0,60,0,3,1105.0,63.0
AAA,2013J,606143,1,6,4,10,1,0,60,0,1,406.0,66.0
AAA,2013J,704156,1,8,1,10,2,0,120,0,2,3064.0,66.0
AAA,2013J,705379,1,11,0,7,2,0,120,0,0,5680.0,80.8
AAA,2013J,721259,0,8,2,6,2,0,120,0,3,4108.0,65.0
AAA,2013J,749412,1,8,2,8,2,0,60,0,2,4007.0,72.0
AAA,2013J,760729,1,11,0,7,2,0,60,0,0,7288.0,81.2
AAA,2013J,905042,0,0,0,10,1,0,60,0,2,3004.0,76.4
AAA,2013J,949618,0,9,0,6,1,0,60,0,2,1357.0,61.8
AAA,2013J,958987,1,5,1,5,1,0,60,0,2,1216.0,77.2
AAA,2013J,968578,0,0,0,5,1,0,60,0,2,870.0,72.0
AAA,2013J,969076,1,9,0,9,1,0,180,0,3,1980.0,59.75
AAA,2013J,971027,0,11,1,10,1,0,60,0,2,3098.0,68.0
AAA,2013J,978739,1,8,1,10,1,0,60,0,2,5988.0,56.6
AAA,2013J,1035023,0,3,2,4,1,0,60,0,2,1896.0,70.0
AAA,2013J,1105478,1,6,1,9,2,0,60,0,2,1695.0,82.6
AAA,2013J,1352868,1,12,0,3,1,0,60,0,3,1732.0,68.57142857142857
AAA,2013J,1401935,1,11,0,8,1,0,60,0,1,240.0,35.0
AAA,2013J,1402638,0,1,1,4,1,0,60,0,2,910.0,75.2
AAA,2013J,1414443,0,12,0,2,1,0,120,0,1,1907.0,59.0
AAA,2013J,1456619,1,9,0,10,1,0,60,0,3,1173.0,63.0
AAA,2013J,1465690,1,11,1,5,1,0,120,0,2,3460.0,81.8
AAA,2013J,1472925,0,0,2,5,1,0,60,1,1,1462.0,61.9
AAA,2013J,1488959,1,3,0,8,1,0,60,0,2,3493.0,61.8
AAA,2013J,1518989,0,7,2,9,1,0,60,0,2,4202.0,73.0
AAA,2013J,1618738,1,3,2,10,1,0,60,0,2,723.0,79.6
AAA,2013J,1620151,1,8,1,10,1,0,60,0,1,998.0,77.5
AAA,2013J,1626710,1,5,0,7,1,0,60,0,0,6025.0,84.6
AAA,2013J,1640609,1,11,0,4,1,0,60,0,2,5061.0,85.0
AAA,2013J,1686521,0,5,2,6,1,0,60,0,3,643.0,68.0
AAA,2013J,1729319,0,6,1,5,1,0,60,0,2,2756.0,78.2
AAA,2013J,1746134,1,0,0,7,1,0,60,0,2,1759.0,83.8
AAA,2013J,1758449,1,8,2,4,1,0,75,0,3,2756.0,61.0
AAA,2013J,1763015,0,6,0,2,1,0,60,0,3,420.0,72.82803689390448
AAA,2013J,1765788,1,7,1,8,2,0,60,0,2,7057.0,66.2
AAA,2013J,1801229,1,2,1,0,1,0,60,0,2,1443.0,76.8
AAA,2013J,1801641,1,6,0,4,1,0,60,0,2,459.0,77.4
AAA,2013J,1847830,1,9,2,5,1,0,60,0,2,6518.0,71.0
AAA,2013J,1860318,1,9,2,5,1,0,300,1,2,5975.0,62.6
AAA,2013J,1889511,1,12,0,6,1,0,60,0,2,1754.0,72.0
AAA,2013J,1889577,0,8,0,8,1,0,60,1,2,931.0,73.6
AAA,2013J,1894188,0,1,0,9,0,0,60,0,2,4294.0,70.4
AAA,2013J,1938355,1,8,0,10,1,0,60,0,2,1992.0,73.0
AAA,2013J,1942396,0,0,2,5,1,0,120,1,2,470.0,53.6
AAA,2013J,1970390,1,11,2,1,1,0,60,0,3,14759.0,83.6
AAA,2013J,1976139,1,2,2,6,1,0,120,0,2,1216.0,67.25
AAA,2013J,2011876,0,0,0,10,0,0,60,1,2,1401.0,76.0
AAA,2013J,2012966,1,5,2,4,1,0,60,0,2,519.0,78.4
AAA,2013J,2051699,0,9,2,8,1,0,60,0,2,1734.0,66.6
AAA,2013J,2062879,0,0,0,7,0,0,60,0,1,2386.0,61.2
AAA,2013J,2065691,1,3,0,4,1,0,330,1,3,1430.0,35.666666666666664
AAA,2013J,2073016,0,3,2,4,1,0,60,0,3,1022.0,58.857142857142854
AAA,2013J,2080474,0,8,0,10,1,0,60,0,2,1146.0,69.6
AAA,2013J,2083877,0,11,0,1,0,0,120,0,2,685.0,67.8
AAA,2013J,2084066,0,9,2,6,1,0,60,0,1,1967.0,59.75
AAA,2013J,2104505,1,11,2,1,1,0,60,0,2,701.0,65.6
AAA,2013J,2122180,0,5,2,9,1,0,60,0,0,4712.0,82.4
AAA,2013J,2139353,1,3,0,6,1,0,120,0,3,2388.0,66.5
AAA,2013J,2143752,0,8,2,8,1,0,60,0,2,1888.0,52.6
AAA,2013J,2146792,1,5,1,3,2,0,60,0,2,2385.0,70.0
AAA,2013J,2149225,1,6,0,8,1,0,60,1,3,319.0,72.82803689390448
AAA,2013J,2153153,0,12,0,5,0,0,60,0,2,3385.0,62.2
AAA,2013J,2155014,0,11,2,9,0,0,60,1,2,1454.0,73.8
AAA,2013J,2164705,0,5,0,5,0,0,120,0,1,231.0,70.0
AAA,2013J,2171627,0,12,0,4,1,0,60,0,2,1346.0,69.0
AAA,2013J,2182846,0,3,0,8,1,0,60,0,2,4214.0,66.0
AAA,2013J,2194100,0,0,0,6,1,0,60,0,2,1401.0,67.2
AAA,2013J,2197016,0,5,1,4,1,0,60,0,2,1455.0,75.6
AAA,2013J,2208424,1,6,0,3,0,0,60,0,2,1080.0,71.2
AAA,2013J,2229865,0,11,0,2,1,0,60,0,2,3236.0,76.4
AAA,2013J,2255601,0,8,0,9,1,0,120,0,3,2543.0,54.5
AAA,2013J,2268379,0,1,0,3,0,0,60,0,2,1685.0,83.0
AAA,2013J,2278464,1,8,2,4,1,0,60,0,2,307.0,51.4
AAA,2013J,2293923,1,8,0,10,0,0,150,0,2,303.0,61.2
AAA,2013J,2312620,0,1,1,3,1,0,60,0,3,1129.0,32.0
AAA,2013J,2318055,1,10,0,10,1,0,60,0,3,1726.0,75.8
AAA,2013J,2324976,0,6,1,10,1,0,60,0,3,0.0,72.82803689390448
AAA,2013J,2329342,0,0,2,5,1,0,120,0,2,565.0,57.2
AAA,2013J,2339528,0,3,2,5,0,0,60,0,0,593.0,80.0
AAA,2013J,2342426,1,12,2,3,1,0,60,0,1,1814.0,73.2
AAA,2013J,2344901,0,12,0,7,0,0,60,0,1,445.0,51.5
AAA,2013J,2358056,0,4,1,0,0,0,60,0,1,1588.0,67.8
AAA,2013J,2358969,0,0,0,8,0,0,180,0,3,2106.0,69.0
AAA,2013J,2364471,0,6,1,10,0,0,60,1,2,7182.0,83.4
AAA,2013J,2365101,1,7,1,3,0,0,300,0,3,0.0,72.82803689390448
AAA,2013J,2367155,0,0,0,9,0,0,120,0,2,2148.0,75.6
AAA,2013J,2369266,0,3,2,8,1,0,60,0,2,2146.0,50.6
AAA,2013J,2376496,0,1,0,3,0,0,120,0,2,749.0,73.4
AAA,2013J,2391984,1,8,0,10,0,0,60,0,3,818.0,73.0
AAA,2013J,2411661,0,8,0,9,0,0,120,0,1,574.0,46.8
AAA,2013J,2411778,1,6,1,3,0,0,120,0,3,1497.0,80.0
AAA,2013J,2412002,1,9,2,6,1,0,90,0,0,3344.0,82.8
AAA,2013J,2412967,0,8,0,9,1,0,60,0,2,2458.0,77.6
AAA,2013J,2429854,1,3,0,2,1,0,120,1,3,953.0,51.0
AAA,2013J,2437837,0,4,0,4,0,0,60,0,2,2684.0,74.4
AAA,2013J,2449878,0,1,0,4,0,0,60,0,2,622.0,60.6
AAA,2013J,2456480,1,6,2,9,1,0,120,0,1,183.0,24.666666666666668
AAA,2013J,2457256,1,8,2,9,1,0,180,0,2,1611.0,70.0
AAA,2013J,2458355,1,3,2,9,1,0,60,0,2,4187.0,90.6
AAA,2013J,2460080,1,6,1,10,2,0,60,0,2,3424.0,78.8
AAA,2013J,2461190,1,8,1,8,2,0,60,0,1,967.0,56.0
AAA,2013J,2469673,0,12,2,3,1,0,60,0,1,523.0,44.5
AAA,2013J,2470694,0,6,1,6,2,0,60,0,3,3115.0,67.0
AAA,2013J,2479954,1,5,0,5,0,0,60,0,2,323.0,79.6
AAA,2013J,2481901,1,10,2,9,1,0,60,0,2,1949.0,75.8
AAA,2013J,2482700,1,8,2,10,0,0,120,0,2,1616.0,55.6
AAA,2013J,2486127,0,0,1,10,0,0,120,0,2,1690.0,73.6
AAA,2013J,2498700,0,5,2,5,0,0,240,0,2,2864.0,77.2
AAA,2013J,2516503,1,7,1,5,1,0,60,0,2,3070.0,79.4
AAA,2013J,2518069,1,1,0,10,0,0,60,0,2,1617.0,76.6
AAA,2013J,2521459,0,3,2,2,0,0,60,0,2,1078.0,60.8
AAA,2013J,2523736,1,5,0,3,2,0,120,0,2,470.0,61.75
AAA,2013J,2529279,0,5,1,7,1,0,60,0,2,1189.0,78.0
AAA,2013J,2532302,0,0,0,9,0,0,60,0,2,1216.0,63.2
AAA,2013J,2536991,1,8,1,10,2,0,60,0,0,1080.0,80.8
AAA,2013J,2542724,0,11,2,5,0,0,60,0,3,228.0,72.82803689390448
AAA,2013J,2550279,0,4,1,0,1,0,60,0,2,2809.0,62.6
AAA,2013J,2551220,0,8,2,10,0,0,60,0,2,1327.0,64.8
AAA,2013J,2552472,0,8,1,9,1,0,120,0,3,519.0,53.5
AAA,2013J,2555340,0,8,1,10,1,0,60,0,2,4441.0,80.6
AAA,2013J,2557283,1,12,1,9,2,0,60,0,2,7262.0,81.2
AAA,2013J,2559575,1,9,2,4,0,0,60,0,2,650.0,71.2
AAA,2013J,2562034,1,0,0,8,0,0,60,0,2,248.0,65.4
AAA,2013J,2566163,0,8,0,9,0,0,60,0,2,1591.0,71.8
AAA,2013J,2566592,0,8,0,10,1,0,60,0,2,1359.0,71.8
AAA,2013J,2569324,1,8,0,10,0,0,120,0,3,493.0,71.2
AAA,2013J,2574528,1,2,1,0,1,0,60,0,2,988.0,75.4
AAA,2013J,2574583,1,12,2,8,1,0,60,0,2,1890.0,70.8
AAA,2013J,2576122,1,5,0,8,0,0,60,0,3,261.0,64.0
AAA,2013J,2578995,0,11,0,2,0,0,60,1,2,1326.0,79.6
AAA,2013J,2586560,0,0,2,9,1,0,60,0,2,2905.0,73.6
AAA,2013J,2594139,0,9,0,6,0,0,60,0,2,1868.0,76.0
AAA,2013J,2598871,0,0,0,9,1,0,60,0,2,2049.0,72.6
AAA,2013J,2599352,0,6,0,4,0,0,120,0,2,1160.0,76.4
AAA,2013J,2600688,1,11,0,3,0,0,60,0,2,582.0,70.0
AAA,2013J,2606098,0,1,0,10,0,0,60,0,2,491.0,71.4
AAA,2013J,2613116,0,3,2,2,1,0,60,0,2,1181.0,78.2
AAA,2013J,2617002,0,12,0,9,0,0,60,0,2,1473.0,64.8
